	 Total Time (s)	Calls (kCalls)
DIST_HAD_32x64	0.0982024	27.3
INTERPOL_QUARTER_32x64	0.0880299	1.456
DIST_SAD_64x32	0.0401713	61.88
DIST_SAD_64x32sub	0.0243233	38.841
INTERPOL_HALF_64x32	0.0404913	1.456
DIST_HAD_64x32	0.0983666	27.3
INTERPOL_QUARTER_64x32	0.0840159	1.456
TR_DCT_32x32_1	0.0379585	3.615
TR_DCT_16x16_1	0.0340765	21.483
TR_iDCT_16x16_1	0.0213301	11.046
TR_DCT_8x8_1	0.0231872	78.56
TR_DCT_4x4_1	0.0107691	115.456
DIST_SSE_4x4	0.00976503	232.188
DIST_SAD_32x32	0.039711	123.76
DIST_SAD_32x32sub	0.0299579	91.876
INTERPOL_HALF_32x32	0.0438727	2.912
DIST_HAD_32x32	0.107725	59.381
INTERPOL_QUARTER_32x32	0.0910492	2.912
DIST_SAD_16x16	0.0494915	495.04
DIST_SAD_16x16sub	0.0319449	318.872
INTERPOL_HALF_16x16	0.0568688	11.648
DIST_HAD_16x16	0.116195	246.26
INTERPOL_QUARTER_16x16	0.111649	11.648
DIST_SAD_16x32	0.044168	247.52
DIST_SAD_16x32sub	0.0229414	128.929
INTERPOL_HALF_16x32	0.0512482	5.824
DIST_HAD_16x32	0.101572	109.2
INTERPOL_QUARTER_16x32	0.105312	5.824
DIST_SAD_32x16	0.0428385	247.52
DIST_SAD_32x16sub	0.0252622	145.692
INTERPOL_HALF_32x16	0.0480329	5.824
DIST_HAD_32x16	0.101753	109.2
INTERPOL_QUARTER_32x16	0.0963896	5.824
TR_iDCT_32x32_1	0.035718	2.831
TR_DST_4x4_1	0.00159842	12.736
TR_iDCT_8x8_1	0.0103126	25.311
TR_iDST_4x4_1	0.00101522	6.718
DIST_HAD_64x16	0.000953726	0.52
DIST_HAD_64x48	0.00281478	0.52
DIST_HAD_16x64	0.00113921	0.61
DIST_HAD_48x64	0.00334319	0.61
TR_iDCT_8x8_0	0.00327779	8.006
TR_iDCT_4x4_1	0.00180986	13.227

Frame	9
Others	2.11335	3150.49
TR_DCT_32x32_0	0.0287803	2.756
DIST_SSE_32x32	0.00815137	12.086
TR_DCT_16x16_0	0.0226985	14.544
DIST_SSE_16x16	0.00833655	39.771
TR_DCT_8x8_0	0.00603272	20.928
DIST_SSE_8x8	0.00681527	79.512
DIST_SSE_64x64	0.00288717	0.964
DIST_SAD_64x64	0.0393835	30.94
DIST_SAD_64x64sub	0.0270224	22.017
INTERPOL_HALF_64x64	0.038949	0.728
DIST_HAD_64x64	0.101153	14.084
INTERPOL_QUARTER_64x64	0.0814087	0.728
DIST_SAD_32x64	0.0381683	61.88
DIST_SAD_32x64sub	0.0223199	36.17
INTERPOL_HALF_32x64	0.0418403	1.456
DIST_HAD_32x64	0.0981592	27.3
INTERPOL_QUARTER_32x64	0.0874696	1.456
DIST_SAD_64x32	0.0402436	61.88
DIST_SAD_64x32sub	0.0257544	41.15
INTERPOL_HALF_64x32	0.0405785	1.456
DIST_HAD_64x32	0.0983844	27.3
INTERPOL_QUARTER_64x32	0.0837534	1.456
TR_DCT_32x32_1	0.0246612	2.342
TR_DCT_16x16_1	0.0222819	14.077
TR_DCT_8x8_1	0.0160055	54.412
TR_DCT_4x4_1	0.00697092	74.672
DIST_SSE_4x4	0.00611346	149.586
DIST_SAD_32x32	0.0396669	123.76
DIST_SAD_32x32sub	0.0322098	98.665
INTERPOL_HALF_32x32	0.0438769	2.912
DIST_HAD_32x32	0.0982849	54.131
INTERPOL_QUARTER_32x32	0.0905135	2.912
DIST_SAD_16x16	0.0494986	494.824
DIST_SAD_16x16sub	0.0307591	305.003
INTERPOL_HALF_16x16	0.0569019	11.648
DIST_HAD_16x16	0.106481	225.26
INTERPOL_QUARTER_16x16	0.110722	11.648
DIST_SAD_16x32	0.0442192	247.457
DIST_SAD_16x32sub	0.022687	128.367
INTERPOL_HALF_16x32	0.0512331	5.824
DIST_HAD_16x32	0.10181	109.2
INTERPOL_QUARTER_16x32	0.104595	5.824
DIST_SAD_32x16	0.0427794	247.484
DIST_SAD_32x16sub	0.0237747	137.482
INTERPOL_HALF_32x16	0.0479986	5.824
DIST_HAD_32x16	0.101847	109.2
INTERPOL_QUARTER_32x16	0.0958418	5.824
TR_iDCT_32x32_0	0.016387	1.304
DIST_HAD_64x16	0.000165197	0.09
DIST_HAD_64x48	0.000487207	0.09
DIST_HAD_16x64	0.00056941	0.3
DIST_HAD_48x64	0.00165612	0.3
TR_iDCT_16x16_0	0.00601305	3.15
TR_iDCT_8x8_0	0.000724917	1.768
TR_iDCT_32x32_1	0.0100427	0.799
TR_iDCT_16x16_1	0.00517426	2.677
TR_iDCT_8x8_1	0.00218887	5.346
TR_iDCT_4x4_1	0.000225392	1.584
TR_DST_4x4_1	0.000390757	3.136
TR_iDST_4x4_1	0.000162388	1.042

Frame	10
Others	2.41429	3307.34
TR_DCT_32x32_0	0.0334338	3.204
DIST_SSE_32x32	0.00932825	13.845
TR_DCT_16x16_0	0.0258238	16.57
DIST_SSE_16x16	0.00967285	46.017
TR_DCT_8x8_0	0.00705483	24.472
DIST_SSE_8x8	0.00781217	91.614
DIST_SSE_64x64	0.0031516	1.048
DIST_SAD_64x64	0.0393174	30.94
DIST_SAD_64x64sub	0.0312918	25.541
INTERPOL_HALF_64x64	0.0389785	0.728
DIST_HAD_64x64	0.103165	14.364
INTERPOL_QUARTER_64x64	0.0816857	0.728
DIST_SAD_32x64	0.0382119	61.88
DIST_SAD_32x64sub	0.0218677	35.487
INTERPOL_HALF_32x64	0.0417589	1.456
DIST_HAD_32x64	0.0981968	27.3
INTERPOL_QUARTER_32x64	0.0875957	1.456
DIST_SAD_64x32	0.0402263	61.88
DIST_SAD_64x32sub	0.0253232	40.494
INTERPOL_HALF_64x32	0.040566	1.456
DIST_HAD_64x32	0.0983092	27.3
INTERPOL_QUARTER_64x32	0.083838	1.456
